created_at,Midlothian,Austin,Houston,Del Rio,Midland,McAllen
2021-09-01 04:42:00+00:00,8.6,23.23,9.7,8.12,12.05,38.02
2021-09-01 04:44:00+00:00,9.34,28.14,10.68,7.59,16.33,37.91
2021-09-01 04:46:00+00:00,9.5,28.15,10.79,7.55,18.4,39.06
2021-09-01 04:48:00+00:00,10.0,29.49,10.96,7.5,13.64,38.72
2021-09-01 04:50:00+00:00,9.82,30.04,9.89,7.1,17.4,37.66
2021-09-01 04:52:00+00:00,9.98,31.11,10.56,8.95,14.2,38.33
2021-09-01 04:54:00+00:00,9.75,29.67,10.535,8.35,19.04,39.15
2021-09-01 04:56:00+00:00,8.55,31.05,10.51,8.62,15.83,37.85
2021-09-01 04:58:00+00:00,9.73,31.83,9.88,8.54,13.17,38.14
2021-09-01 05:00:00+00:00,9.82,29.98,10.36,8.96,12.53,37.76
2021-09-01 05:02:00+00:00,8.87,31.41,11.39,8.5,11.58,38.25
2021-09-01 05:04:00+00:00,10.13,31.38,11.56,9.03,11.2,38.18
2021-09-01 05:06:00+00:00,9.6,31.03,11.43,8.11,9.97,38.19
2021-09-01 05:08:00+00:00,10.04,31.03,11.52,9.05,11.41,36.81
2021-09-01 05:10:00+00:00,9.56,31.16,11.4575,10.68,10.93,36.65
2021-09-01 05:12:00+00:00,9.38,32.89,11.395,10.71,11.35,38.86
2021-09-01 05:14:00+00:00,9.55,32.24,11.58,9.73,10.58,37.28
2021-09-01 05:16:00+00:00,10.1,32.69,11.91,9.24,10.45,38.18
2021-09-01 05:18:00+00:00,9.48,32.26,11.23,10.21,10.28,37.76
2021-09-01 05:20:00+00:00,9.25,33.04,12.48,10.3,10.18,38.0
2021-09-01 05:22:00+00:00,10.9,33.29,11.27,10.75,9.86,38.45
2021-09-01 05:24:00+00:00,10.17,31.67,12.56,12.04,10.21,38.05
2021-09-01 05:26:00+00:00,10.82,32.81,12.3975,11.6,11.2,38.13
2021-09-01 05:28:00+00:00,10.61,33.27,12.235,10.66,9.61,39.09
2021-09-01 05:30:00+00:00,10.33,34.28,12.28,11.88,11.05,37.77
2021-09-01 05:32:00+00:00,10.52,34.4,11.76,12.59,9.95,37.84
2021-09-01 05:34:00+00:00,10.4,34.07,13.38,14.09,10.39,39.22
2021-09-01 05:36:00+00:00,10.0,34.14,13.13,12.91,9.1,38.39
2021-09-01 05:38:00+00:00,11.32,34.27,13.04,14.29,9.67,36.91
2021-09-01 05:40:00+00:00,10.88,33.42,12.44,13.0,9.76,38.05
2021-09-01 05:42:00+00:00,10.39,35.34,12.692499999999999,14.16,9.58,38.65
2021-09-01 05:44:00+00:00,10.05,34.73,12.945,14.6,9.25,39.08
2021-09-01 05:46:00+00:00,10.71,33.97,13.32,16.02,9.47,38.36
2021-09-01 05:48:00+00:00,10.86,34.64,14.14,16.14,9.5,38.64
2021-09-01 05:50:00+00:00,10.14,30.86,13.19,16.54,9.05,39.0
2021-09-01 05:52:00+00:00,9.7,30.4,13.04,16.68,7.73,39.05
2021-09-01 05:54:00+00:00,10.57,34.21,13.87,17.25,7.86,39.1
2021-09-01 05:56:00+00:00,11.15,36.02,14.15,18.55,8.55,38.35
2021-09-01 05:58:00+00:00,11.55,34.13,13.467500000000001,18.54,8.18,40.22
2021-09-01 06:00:00+00:00,10.91,34.37,12.785,18.3,8.56,38.69
2021-09-01 06:02:00+00:00,10.03,35.64,15.02,20.72,8.57,40.25
2021-09-01 06:04:00+00:00,11.19,35.79,14.96,20.49,8.17,38.41
2021-09-01 06:06:00+00:00,10.67,37.09,14.94,20.67,8.26,39.26
2021-09-01 06:08:00+00:00,10.12,34.75,13.41,20.56,8.21,38.98
2021-09-01 06:10:00+00:00,11.41,34.77,22.25,21.39,8.81,37.84
2021-09-01 06:12:00+00:00,11.81,36.42,15.69,22.47,8.38,39.39
2021-09-01 06:14:00+00:00,10.89,36.11,15.355,22.67,8.45,38.42
2021-09-01 06:16:00+00:00,11.58,36.02,15.02,21.98,8.17,38.7
2021-09-01 06:18:00+00:00,10.76,33.14,16.19,23.83,8.84,39.03
2021-09-01 06:20:00+00:00,11.53,35.34,15.74,22.24,8.44,38.42
2021-09-01 06:22:00+00:00,10.67,34.98,16.86,24.07,9.09,39.61
2021-09-01 06:24:00+00:00,11.16,35.82,15.24,23.5,9.07,38.22
2021-09-01 06:26:00+00:00,9.54,36.05,15.69,26.15,8.19,39.27
2021-09-01 06:28:00+00:00,10.48,36.12,14.31,26.89,8.91,38.16
2021-09-01 06:30:00+00:00,10.48,35.82,14.690000000000001,25.57,8.18,38.06
2021-09-01 06:32:00+00:00,10.71,36.51,15.07,25.51,7.97,37.76
2021-09-01 06:34:00+00:00,10.32,35.49,15.3,27.28,9.29,37.71
2021-09-01 06:36:00+00:00,10.75,35.29,15.36,27.76,8.52,37.46
2021-09-01 06:38:00+00:00,10.46,35.66,16.13,26.93,8.67,38.18
2021-09-01 06:40:00+00:00,10.68,36.44,16.55,27.83,8.28,38.27
2021-09-01 06:42:00+00:00,11.43,36.33,15.18,28.43,8.17,37.91
2021-09-01 06:44:00+00:00,11.27,36.7,14.29,28.39,9.31,37.76
2021-09-01 06:46:00+00:00,11.25,35.65,14.719999999999999,29.04,8.87,36.21
2021-09-01 06:48:00+00:00,11.11,36.32,15.149999999999999,29.53,8.33,37.27
2021-09-01 06:50:00+00:00,11.46,36.97,14.89,29.8,8.88,37.65
2021-09-01 06:52:00+00:00,11.26,34.21,14.59,30.45,8.8,36.75
2021-09-01 06:54:00+00:00,11.2,33.11,16.25,29.65,8.85,37.38
2021-09-01 06:56:00+00:00,11.11,33.2,15.95,30.86,8.6,36.75
2021-09-01 06:58:00+00:00,11.29,32.59,16.04,31.98,9.42,37.02
2021-09-01 07:00:00+00:00,11.29,33.96,16.88,30.96,8.68,36.33
2021-09-01 07:02:00+00:00,11.07,34.61,16.405,30.73,9.09,35.71
2021-09-01 07:04:00+00:00,10.63,33.62,15.93,31.25,9.59,35.79
2021-09-01 07:06:00+00:00,10.87,34.02,15.91,29.87,8.69,35.86
2021-09-01 07:08:00+00:00,10.57,33.54,15.51,32.45,8.44,36.16
2021-09-01 07:10:00+00:00,10.15,34.44,15.38,30.53,9.34,33.74
2021-09-01 07:12:00+00:00,11.0,33.87,18.23,31.82,8.5,34.95
2021-09-01 07:14:00+00:00,10.95,34.38,16.28,30.43,9.14,34.28
2021-09-01 07:16:00+00:00,10.29,35.05,16.64,31.65,8.5,32.98
2021-09-01 07:18:00+00:00,11.62,34.83,17.0075,32.27,9.12,34.35
2021-09-01 07:20:00+00:00,10.72,34.67,17.375,31.62,9.33,34.25
2021-09-01 07:22:00+00:00,11.21,34.16,17.62,31.54,7.71,33.38
2021-09-01 07:24:00+00:00,11.21,35.72,18.57,32.93,8.75,34.35
2021-09-01 07:26:00+00:00,11.29,33.07,18.08,32.96,7.39,34.41
2021-09-01 07:28:00+00:00,10.27,33.48,18.24,33.18,8.32,33.0
2021-09-01 07:30:00+00:00,11.05,35.24,19.04,34.63,8.59,34.21
2021-09-01 07:32:00+00:00,10.78,36.14,17.53,34.07,8.49,34.33
2021-09-01 07:34:00+00:00,11.04,34.82,18.2,33.86,9.48,35.07
2021-09-01 07:36:00+00:00,11.18,36.25,18.869999999999997,35.57,8.97,34.03
2021-09-01 07:38:00+00:00,10.62,38.02,18.64,34.32,9.05,33.91
2021-09-01 07:40:00+00:00,10.72,37.61,20.0,35.15,8.71,34.24
2021-09-01 07:42:00+00:00,11.02,36.69,19.71,34.95,8.89,34.58
2021-09-01 07:44:00+00:00,11.91,37.29,19.52,34.73,9.34,34.6
2021-09-01 07:46:00+00:00,9.95,37.12,19.28,35.7,9.36,32.05
2021-09-01 07:48:00+00:00,11.0,37.7,19.05,35.95,8.9,33.8
2021-09-01 07:50:00+00:00,10.47,37.96,19.345,36.73,8.96,33.55
2021-09-01 07:52:00+00:00,11.04,38.08,19.64,35.95,8.9,34.4
2021-09-01 07:54:00+00:00,10.68,38.88,18.02,36.2,8.69,33.67
2021-09-01 07:56:00+00:00,9.95,37.76,20.42,35.76,9.12,33.78
2021-09-01 07:58:00+00:00,11.34,38.12,19.36,36.48,8.45,33.53
2021-09-01 08:00:00+00:00,10.78,38.52,20.74,36.65,8.95,34.59
2021-09-01 08:02:00+00:00,9.81,39.4,19.33,36.44,9.62,33.09
2021-09-01 08:04:00+00:00,11.52,38.21,18.7,37.68,9.72,32.98
2021-09-01 08:06:00+00:00,11.0,37.0,18.942500000000003,37.23,9.41,34.21
2021-09-01 08:08:00+00:00,10.39,38.57,19.185000000000002,37.12,9.0,33.07
2021-09-01 08:10:00+00:00,9.47,39.18,19.36,36.91,9.19,34.33
2021-09-01 08:12:00+00:00,11.41,39.64,19.17,37.17,8.7,34.84
2021-09-01 08:14:00+00:00,11.28,38.93,23.42,37.6,9.32,33.49
2021-09-01 08:16:00+00:00,10.54,36.91,22.91,38.34,9.32,33.56
2021-09-01 08:18:00+00:00,9.47,36.85,20.98,37.79,9.13,34.09
2021-09-01 08:20:00+00:00,10.04,34.71,19.91,38.61,10.66,33.29
2021-09-01 08:22:00+00:00,10.09,36.36,20.16,38.09,9.61,33.5
2021-09-01 08:24:00+00:00,9.75,37.21,20.41,38.54,9.03,34.16
2021-09-01 08:26:00+00:00,10.21,35.75,20.08,38.18,8.61,34.23
2021-09-01 08:28:00+00:00,10.61,35.12,20.36,37.68,9.09,34.71
2021-09-01 08:30:00+00:00,11.28,33.95,20.64,38.09,8.88,34.57
2021-09-01 08:32:00+00:00,9.96,35.4,19.61,37.82,8.36,35.49
2021-09-01 08:34:00+00:00,9.68,34.68,19.67,38.68,8.15,34.98
2021-09-01 08:36:00+00:00,10.18,37.39,21.54,39.2,8.6,34.65
2021-09-01 08:38:00+00:00,10.53,33.68,21.05,39.41,9.64,34.25
2021-09-01 08:40:00+00:00,10.8,36.98,20.560000000000002,39.34,8.0,34.42
2021-09-01 08:42:00+00:00,10.23,37.46,20.8,38.7,8.77,34.32
2021-09-01 08:44:00+00:00,10.57,35.24,20.58,39.31,8.12,33.88
2021-09-01 08:46:00+00:00,10.21,35.49,19.73,38.13,9.98,36.17
2021-09-01 08:48:00+00:00,9.76,36.36,20.32,39.85,8.63,34.57
2021-09-01 08:50:00+00:00,10.96,37.25,21.08,39.25,9.12,35.28
2021-09-01 08:52:00+00:00,10.4,38.0,22.25,38.61,9.19,34.65
2021-09-01 08:54:00+00:00,9.63,34.93,21.490000000000002,40.21,8.7,35.75
2021-09-01 08:56:00+00:00,10.11,37.13,20.73,38.41,9.16,35.42
2021-09-01 08:58:00+00:00,10.64,36.16,21.07,39.84,9.33,34.5
2021-09-01 09:00:00+00:00,10.61,37.0,20.97,38.71,8.43,35.86
2021-09-01 09:02:00+00:00,11.2,38.67,20.87,38.74,9.37,35.29
2021-09-01 09:04:00+00:00,9.79,39.3,22.84,39.74,9.55,35.46
2021-09-01 09:06:00+00:00,11.29,40.21,21.64,39.67,9.03,34.96
2021-09-01 09:08:00+00:00,10.2,39.43,22.55,40.04,8.95,35.84
2021-09-01 09:10:00+00:00,11.73,40.63,22.509999999999998,39.04,8.07,36.3
2021-09-01 09:12:00+00:00,10.6,40.44,22.47,38.84,8.95,36.96
